N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.26834	-0.36087	0.021766	-0.086567	0.12906	-0.048894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27068	-0.3573	0.022994	-0.061539	0.12102	-0.015097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27191	-0.35518	0.025115	-0.02396	0.10266	0.015444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27191	-0.35429	0.025003	0.015713	0.079536	0.0278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27124	-0.35306	0.024668	0.040763	0.060886	0.026582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27012	-0.35116	0.025673	0.039392	0.051443	0.029449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26856	-0.35004	0.026008	0.013185	0.049081	0.042376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26588	-0.34937	0.026677	-0.020343	0.048017	0.055292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2651	-0.34926	0.027236	-0.044914	0.044667	0.063219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26756	-0.34848	0.028798	-0.05375	0.038993	0.069095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27247	-0.34692	0.031477	-0.045791	0.032553	0.074878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27503	-0.34547	0.032705	-0.020973	0.026875	0.079489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27492	-0.3448	0.034044	0.014315	0.021614	0.081569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27269	-0.34536	0.035049	0.046085	0.017215	0.085714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.27001	-0.3458	0.036723	0.060965	0.01582	0.10038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26867	-0.34547	0.038956	0.061003	0.016679	0.12947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26811	-0.34457	0.040853	0.058701	0.013426	0.16651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26733	-0.34368	0.043197	0.064294	-0.00016314	0.19372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26689	-0.34312	0.046658	0.078564	-0.023904	0.20148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26588	-0.3429	0.052685	0.091598	-0.048608	0.19125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26331	-0.34435	0.060164	0.095854	-0.06526	0.16797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26052	-0.34636	0.063624	0.090826	-0.071287	0.13352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25717	-0.34937	0.065075	0.077932	-0.067968	0.09282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25561	-0.35127	0.064963	0.059453	-0.057671	0.060625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.25539	-0.35161	0.065633	0.040064	-0.044447	0.052836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
